# x y z  nx ny nz   (pre-displacement Vertex::N = bake ride input)
3.66207 3.02874 0.10453  0.800063 -0.560306 0.214374
33.21548 10.21266 -49.74336  -0.567647 -0.818989 0.083873
13.18381 4.04091 -21.29166  0.083885 -0.818986 0.567649
3.45713 3.02874 0.30947  0.083884 -0.818987 0.567648
33.35545 10.12157 -49.65743  -0.592731 -0.802699 0.065906
13.26973 3.94982 -21.43163  0.065912 -0.802696 0.592735
3.54306 2.93765 0.16949  0.065916 -0.802696 0.592734
33.35337 10.12157 -49.78939  -0.539711 -0.841283 -0.030898
13.13778 3.94982 -21.42955  -0.030903 -0.841284 0.539710
3.41110 2.93765 0.17158  -0.030904 -0.841284 0.539709
13.03378 4.04091 -21.29166  -0.127988 -0.869181 0.477644
33.21548 10.21266 -49.89338  -0.477649 -0.869180 -0.127975
3.30711 3.02874 0.30947  -0.127984 -0.869182 0.477644
13.10880 4.04091 -21.28178  -0.000000 -0.851261 0.524742
3.38212 3.02874 0.31934  -0.000000 -0.851259 0.524746
33.20560 10.21266 -49.81837  -0.524742 -0.851261 0.000000
13.05198 3.94982 -21.49915  -0.379410 -0.924889 0.025078
33.42297 10.12157 -49.87519  -0.025080 -0.924888 -0.379411
3.32530 2.93765 0.10197  -0.379411 -0.924888 0.025077
13.05219 3.94982 -21.64427  -0.388220 -0.920748 -0.038846
33.56808 10.12157 -49.87498  0.038850 -0.920747 -0.388222
